year,name,yob,district,list_state,list_position,occupation,birthplace,party_wiki_id,party_name_short,party_name_full
2002,"Bauer, Dr. Wolf",1939,93,NW,44,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Bauer, Jan-Hendryk",1971,239,BY,2,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Bauer, Ursula",1948,NA,BY,40,NA,NA,Q49763,CSU,Christlich-Soziale Union in Bayern e.V.
2002,"Baum, Petra",1951,NA,BY,15,NA,NA,Q759555,AUFBRUCH,"Aufbruch für Bürgerrechte, Freiheit und Gesundheit"
2002,"Baumann, Frank",1963,126,NW,10,NA,NA,Q897197,BüSo,Bürgerrechtsbewegung Solidarität
2002,"Baumann, Günter",1947,166,NA,NA,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Baumann, Hedwig",1930,NA,BW,6,NA,NA,Q896165,CM,Christliche Mitte
2002,"Baumann, Werner Karl",1958,NA,RP,31,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Baumbach, Barbara",1960,NA,HE,42,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Baumgart, Horst Günter",1938,142,NA,NA,NA,NA,Q457217,Schill,Schill-Partei
2002,"Baumgarten, Heino August",1959,NA,NI,57,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Bausemer, Arnold",1953,NA,SN-Anhalt,13,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Bech, Hermann",1937,NA,HE,7,NA,NA,Q896165,CM,Christliche Mitte
2002,"Bechert, Dietmar",1951,NA,BW,9,NA,NA,Q34065989,Die Grauen,Die Grauen – Für alle Generationen
2002,"Beciri, Birgit",1962,NA,HE,9,NA,NA,Q492561,Tierschutz,Tierschutzpartei
2002,"Beck, Ernst-Reinhard",1945,290,NA,NA,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Beck, Friedhard",1957,NA,TH,3,NA,NA,Q269316,REP,Die Republikaner
2002,"Beck, Johann Bernhard",1934,97,NA,NA,NA,NA,Q457217,Schill,Schill-Partei
